steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher,estimated_revenue
303,Pit People,March,2018,19.99,200000.0,500000.0,350000.0,The Behemoth,The Behemoth,6996499.999999999
304,Hand of Fate,February,2015,19.99,500000.0,1000000.0,750000.0,Defiant Development,Defiant Development,14992499.999999998
305,SCARLET NEXUS,June,2021,17.99,500000.0,1000000.0,750000.0,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,13492499.999999998
306,Baldur's Gate: Enhanced Edition,January,2013,19.99,1000000.0,2000000.0,1500000.0,Beamdog,Beamdog,29984999.999999996
307,Mutant Year Zero: Road to Eden,December,2018,34.99,500000.0,1000000.0,750000.0,The Bearded Ladies,Funcom,26242500.0
308,Remnant: From the Ashes,August,2019,15.99,2000000.0,5000000.0,3500000.0,Gunfire Games,Perfect World Entertainment,55965000.0
309,Mount & Blade: Warband,March,2010,19.99,2000000.0,5000000.0,3500000.0,TaleWorlds Entertainment,TaleWorlds Entertainment,69965000.0
310,Cosmic Star Heroine,April,2017,14.99,100000.0,200000.0,150000.0,Zeboyd Games,Zeboyd Games,2248500.0
311,DeathSpank,October,2010,14.99,100000.0,200000.0,150000.0,Hothead Games,Electronic Arts,2248500.0
312,SpellForce 3: Fallen God,November,2020,19.99,100000.0,200000.0,150000.0,Grimlore Games,THQ Nordic,2998499.9999999995
313,Lords of the Realm II,October,1996,2.99,50000.0,100000.0,75000.0,Impressions Games,Rebellion,224250.00000000003
314,Expeditions: Conquistador,May,2013,19.99,100000.0,200000.0,150000.0,Logic Artists,THQ Nordic,2998499.9999999995
315,Arx Fatalis,November,2002,4.99,200000.0,500000.0,350000.0,Arkane Studios,Arkane Studios,1746500.0
316,The Incredible Adventures of Van Helsing II,May,2014,1.49,200000.0,500000.0,350000.0,NeocoreGames,NeocoreGames,521500.0
317,Deathtrap,February,2015,1.99,200000.0,500000.0,350000.0,NeocoreGames,NeocoreGames,696500.0
318,Shadows: Awakening,August,2018,29.99,100000.0,200000.0,150000.0,Games Farm,Kalypso Media,4498500.0
319,Tower of Time,April,2018,24.99,50000.0,100000.0,75000.0,Event Horizon,Event Horizon,1874249.9999999998
320,Star Renegades,September,2020,24.99,200000.0,500000.0,350000.0,"Massive Damage, Inc.",Raw Fury,8746500.0
321,Eldritch,October,2013,14.99,200000.0,500000.0,350000.0,Minor Key Games,Minor Key Games,5246500.0
322,Might & Magic: Heroes VI,October,2011,19.99,500000.0,1000000.0,750000.0,Blackhole,Ubisoft,14992499.999999998
323,NEO Scavenger,December,2014,14.99,500000.0,1000000.0,750000.0,Blue Bottle Games,Blue Bottle Games,11242500.0
324,TERA - Action MMORPG,January,2017,0.0,1000000.0,2000000.0,1500000.0,"Bluehole, Inc.",Gameforge 4D GmbH,0.0
325,Reigns,August,2016,2.99,500000.0,1000000.0,750000.0,Nerial,Devolver Digital,2242500.0
326,Risen,October,2009,9.99,500000.0,1000000.0,750000.0,Piranha Bytes,THQ Nordic,7492500.0
327,Tales of Zestiria,October,2015,49.99,500000.0,1000000.0,750000.0,BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,37492500.0
328,Child of Light,April,2014,14.99,500000.0,1000000.0,750000.0,Ubisoft Montréal,Ubisoft,11242500.0
329,LISA: The Painful,December,2014,9.99,200000.0,500000.0,350000.0,Dingaling,"Dingaling Productions, LLC",3496500.0
330,Risk of Rain,November,2013,9.99,1000000.0,2000000.0,1500000.0,Hopoo Games,Chucklefish,14985000.0
